contact_id,created_at,description,dossier_id,file_content_type,file_file_name,file_file_size,file_updated_at,id,long_link,short_link,type_document_id,updated_at
,2011-06-06 13:04:00 UTC,camper,31,image/jpeg,camper.jpg,69176,2011-06-06 13:04:00 UTC,34,http://s3.amazonaws.com/etude-legendre/app/public/system/afa17e36a381865d484a57d8bcaa3dbf75672704.jpg?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488865&Signature=wfmuq0Pb2bFL6cKSVwkhARdZllc%3D,http://bit.ly/xlB69x,,2012-02-22 12:14:25 UTC
,2011-06-06 13:05:37 UTC,pass,31,text/html,test-static-01.html,45080,2011-06-06 13:05:37 UTC,36,http://s3.amazonaws.com/etude-legendre/app/public/system/fef5f2aaf6e67424557871f6ab6f901cd1b66069.html?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488865&Signature=XvgcZghgnhCQI9%2BgbvujSOVkit4%3D,http://bit.ly/AytYas,,2012-02-22 12:14:25 UTC
,2011-06-06 13:21:18 UTC,labels v2 - chiffres voirie,31,application/octet-stream,chiffres_voirie.markdown,3713,2011-08-13 16:29:45 UTC,39,http://s3.amazonaws.com/etude-legendre/app/public/system/09ad60b94741f6aa7e70c44775835fdd74dbea51.markdown?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488865&Signature=UQ4LG0%2Fz%2F%2BsEY6ExO4j2Pa2bOZs%3D,http://bit.ly/yDkPv3,,2012-02-22 12:14:25 UTC
,2011-06-07 14:06:20 UTC,Compte de résultat,31,application/octet-stream,compte de resultat bv.19107.xls,34816,2011-06-07 14:06:20 UTC,48,http://s3.amazonaws.com/etude-legendre/app/public/system/25795892180bb353a78eca169b0181317719e21b.xls?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488866&Signature=%2BlwWh7t9CllPRzzQuZnFE2dlNkM%3D,http://bit.ly/zWgqcW,,2012-02-22 12:14:26 UTC
,2011-06-07 14:28:46 UTC,Compte resultat V2,31,application/octet-stream,compte de resultat bv.19107.xls,34816,2011-06-07 14:28:45 UTC,50,http://s3.amazonaws.com/etude-legendre/app/public/system/f6d8c148527ad3763e7c669f5ecc257b7271fd5f.xls?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488866&Signature=Ohh1GkIYNnuKm2KMkQv%2FMlEJ7IQ%3D,http://bit.ly/zbMAm0,,2012-02-22 12:14:26 UTC
,2011-06-07 14:28:47 UTC,Plan de financement,31,application/octet-stream,plan de financement a 3ans.14337.xls,27648,2011-06-07 14:28:45 UTC,51,http://s3.amazonaws.com/etude-legendre/app/public/system/f18431fa5d616c8414334a8fd8d1f8e0d5a9d871.xls?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488866&Signature=v7leW3ihX0IZGQS6gK8wS4SKpwU%3D,http://bit.ly/ywYpvQ,,2012-02-22 12:14:26 UTC
,2011-06-07 14:28:48 UTC,Initial,31,application/octet-stream,plan_de_financementi_initial.10176.xls,23552,2011-06-07 14:28:45 UTC,52,http://s3.amazonaws.com/etude-legendre/app/public/system/926bbebfd17f7428e586a599574f3defa9924f24.xls?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488866&Signature=DOJ3m9uQS8zlQzRQ512UiuK26O4%3D,http://bit.ly/wyN4P6,,2012-02-22 12:14:26 UTC
,2011-06-09 17:47:48 UTC,zerzre,31,application/pdf,bak.pdf,46661,2011-06-09 17:47:48 UTC,58,http://s3.amazonaws.com/etude-legendre/app/public/system/80f616d11fa95c55815c627ad2c576dc7796d1c9.pdf?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488866&Signature=5YKr8z5uup3poUgzpkotHI2yxBs%3D,http://bit.ly/w6YB38,,2012-02-22 12:14:26 UTC
,2011-06-09 18:20:06 UTC,pompote,31,application/pdf,bak.pdf,46661,2011-06-09 18:20:06 UTC,59,http://s3.amazonaws.com/etude-legendre/app/public/system/7f5f979f9173727b79ce6e60518a2bc1e84196fc.pdf?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488867&Signature=kTg4TCF8kRSxgmZKb9GrzCrHJts%3D,http://bit.ly/yg9FnY,,2012-02-22 12:14:27 UTC
,2011-08-13 13:41:43 UTC,POI,31,text/html,How To  Create custom layouts - GitHub.html,94805,2011-08-13 13:41:43 UTC,73,http://s3.amazonaws.com/etude-legendre/app/public/system/86c818084efa9439333f0f8ccb75f83562533879.html?AWSAccessKeyId=AKIAJN75XNBEIO2RQGMQ&Expires=1645488867&Signature=3t0MOtblJeeFY4SvnvKQy5UWDIg%3D,http://bit.ly/zq1YEB,,2012-02-22 12:14:27 UTC
