activite_id,categorie_id,consignation_id,created_at,date_item,description,dossier_id,id,item_id,prix_unitaire,quantite,taux_tva_id,unite_id,updated_at,user_id
118,3,,2011-08-19 15:19:03 UTC,,SAPITEURS,31,89,11,2.0,4.0,1,2,2011-08-19 15:19:03 UTC,
118,2,,2011-08-19 15:19:03 UTC,,TEMPS PASSÉ EXPERT,31,90,10,3.0,5.0,1,3,2011-08-19 15:19:03 UTC,
118,1,,2011-08-19 15:19:03 UTC,,DIVERS DÉPLACEMENT,31,91,4,2.0,3.0,1,2,2011-08-19 15:19:03 UTC,
0,3,,2011-08-28 07:11:44 UTC,2011-08-30,SAPITEURS,31,99,11,2.0,5.0,1,2,2011-08-28 07:11:44 UTC,
,1,,2011-08-28 14:00:49 UTC,2011-08-24,DIVERS DÉPLACEMENT,31,101,4,2.0,3.0,1,2,2011-08-28 14:00:49 UTC,
323,1,,2011-08-28 14:01:59 UTC,,PEAGES,31,102,2,50.0,12.0,1,2,2011-08-28 14:01:59 UTC,
,2,,2011-08-28 14:02:00 UTC,,HONORAIRE ACCEDIT,31,103,6,3.0,15.0,1,3,2011-08-28 14:02:00 UTC,
324,2,,2011-08-28 14:23:10 UTC,,HONORAIRE RÉDACTION,31,104,8,3.0,0.0,1,3,2011-08-28 14:23:10 UTC,
324,2,,2011-08-28 14:23:11 UTC,,TEMPS PASSÉ EXPERT,31,105,10,3.0,0.0,1,3,2011-08-28 14:23:11 UTC,
324,2,,2011-08-28 14:23:12 UTC,,HONORAIRE ETUDE,31,106,7,3.0,0.0,1,3,2011-08-28 14:23:12 UTC,
324,2,,2011-08-28 14:23:12 UTC,,HONORAIRE ETUDE,31,107,7,3.0,0.0,1,3,2011-08-28 14:23:12 UTC,
324,1,,2011-08-28 14:23:13 UTC,,DIVERS DÉPLACEMENT,31,108,4,2.0,0.0,1,2,2011-08-28 14:23:13 UTC,
326,1,,2011-08-28 14:29:27 UTC,,PEAGES,31,109,2,2.0,0.0,1,2,2011-08-28 14:29:27 UTC,
326,2,,2011-08-28 14:29:28 UTC,,HONORAIRE RÉDACTION,31,110,8,3.0,0.0,1,3,2011-08-28 14:29:28 UTC,
326,2,,2011-08-28 14:29:29 UTC,,HONORAIRES DÉPLACEMENT,31,111,5,3.0,0.0,1,3,2011-08-28 14:29:29 UTC,
418,2,,2012-01-01 08:34:37 UTC,2012-01-09,HONORAIRE ACCEDIT,40,132,6,98.0,2.0,1,3,2012-01-01 08:36:29 UTC,
,,,2012-01-01 08:36:27 UTC,,"",40,133,,0.0,0.0,1,,2012-01-01 08:36:27 UTC,
,,,2012-01-01 08:36:29 UTC,,"",40,134,,0.0,0.0,1,,2012-01-01 08:36:29 UTC,
,,,2012-01-01 08:37:52 UTC,,"",40,135,,0.0,0.0,1,,2012-01-01 08:37:52 UTC,
418,2,,2012-01-01 08:37:56 UTC,2012-01-01,HONORAIRE ACCEDIT,40,136,6,98.0,1.0,1,3,2012-01-01 08:39:11 UTC,
,,,2012-01-01 08:39:16 UTC,,"",40,137,,0.0,0.0,1,,2012-01-01 08:39:16 UTC,
458,,,2012-01-01 09:04:28 UTC,,"",40,138,,0.0,0.0,1,,2012-01-01 09:04:28 UTC,
452,2,,2012-01-01 22:59:22 UTC,2012-01-02,HONORAIRE RÉDACTION,43,140,8,95.0,0.5,1,3,2012-01-01 23:01:17 UTC,
,1,,2012-01-25 21:41:34 UTC,,DIVERS DÉPLACEMENT,32,145,4,2.0,2.0,1,2,2012-01-25 21:41:41 UTC,
,2,,2012-02-16 07:39:48 UTC,2012-03-15,HONORAIRES DÉPLACEMENT,43,148,5,90.0,1.0,1,3,2012-03-15 14:05:25 UTC,
,2,,2012-02-25 14:07:31 UTC,2012-02-22,HONORAIRE RÉDACTION,38,153,8,80.0,2.0,1,3,2012-02-25 14:07:41 UTC,
483,4,,2012-02-26 11:08:38 UTC,2012-02-21,LETTRE SIMPLE,42,155,19,3.0,3.0,1,5,2012-02-26 11:09:14 UTC,
443,1,,2012-02-26 11:09:19 UTC,2012-02-24,DIVERS DÉPLACEMENT,42,156,4,31.0,1.0,1,2,2012-02-26 11:10:12 UTC,
,1,,2012-03-15 14:03:13 UTC,2012-03-15,DÉPLACEMENT,43,157,1,1.0,100.0,1,1,2012-03-15 14:04:04 UTC,
,2,,2012-03-18 05:47:39 UTC,2012-03-16,HONORAIRE RÉDACTION,42,158,8,80.0,1.0,1,3,2012-03-18 05:48:25 UTC,
